BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2024-05-24,Башнефт ао,BANE,8304,260174268.0,3087.0,2980.0,3095.0,3033.5,3036.5,3051.5,85689,3037.0,3037.0,,237805978.0,237805978.0,,0.0,3,SUR,-0.34
TQBR,2024-05-24,Башнефт ап,BANEP,11289,627190295.0,2276.0,2200.0,2315.0,2254.0,2259.0,2256.5,277665,2260.0,2260.0,,562233665.0,562233665.0,,0.0,3,SUR,-1.29
TQTF,2024-05-24,BCSB ETF,BCSB,148,238212.85,11.976,11.876,11.99,11.896,11.894,11.942,20027,,11.902,,0.0,638081.78,,722116.68,3,SUR,-0.12
TQBR,2024-05-24,НоваБев ао,BELU,19236,373762067.0,5730.0,5601.0,5763.0,5675.0,5664.0,5627.0,65992,5665.0,5665.0,,346941834.0,346941834.0,,0.0,3,SUR,-1.47
SMAL,2024-05-24,БашИнСв ап,BISVP,3,428.7,14.53,14.17,14.53,,14.06,14.17,30,,,,0.0,0.0,,0.0,3,SUR,2.46
TQBR,2024-05-24,БашИнСв ап,BISVP,141,1078656.0,14.47,13.81,14.49,13.88,14.06,13.88,76700,14.06,14.06,,1078656.0,1078656.0,,0.0,3,SUR,-3.14
TQBR,2024-05-24,Белон ао,BLNG,959,17828020.5,27.78,26.405,27.88,26.75,26.95,26.75,661500,26.95,26.95,,17828020.5,17828020.5,,0.0,3,SUR,-3.03
TQTF,2024-05-24,BOND ETF,BOND,55,707372.6,1159.0,1152.0,1159.0,1154.2,1154.0,1153.8,613,1154.0,1154.0,,705065.0,705065.0,,1138105.79,3,SUR,-0.26
TQBR,2024-05-24,БурЗолото,BRZL,1646,26890853.0,2383.0,2357.0,2500.0,2390.0,2439.0,2390.0,11026,2439.0,2439.0,,26890853.0,26890853.0,,0.0,3,SUR,0.97
TQBR,2024-05-24,БСП ао,BSPB,13929,513496497.2,370.5,362.95,375.0,369.75,369.86,368.6,1388370,369.95,369.95,,470657284.1,470657284.1,,0.0,3,SUR,-0.52
SMAL,2024-05-24,БСП ап,BSPBP,2,159.3,53.05,53.05,53.2,,55.9,53.2,3,,,,0.0,0.0,,0.0,3,SUR,-16.94
TQBR,2024-05-24,БСП ап,BSPBP,426,8360190.0,56.95,54.6,57.5,55.65,55.9,55.7,149500,55.9,55.9,,8360190.0,8360190.0,,0.0,3,SUR,-1.33
SMAL,2024-05-24,СТГ,CARM,1,22.41,2.2405,2.2405,2.2405,,2.157,2.2405,10,,,,0.0,0.0,,0.0,3,SUR,-2.61
TQBR,2024-05-24,СТГ,CARM,6964,53532814.65,2.2165,2.1105,2.217,2.12,2.157,2.129,24817200,2.161,2.161,,47693734.9,47693734.9,,0.0,3,SUR,-3.9
SMAL,2024-05-24,МКБ ао,CBOM,1,604.21,7.193,7.193,7.193,,7.23,7.193,84,,,,0.0,0.0,,0.0,3,SUR,-2.51
TQBR,2024-05-24,МКБ ао,CBOM,3417,39299788.2,7.228,7.16,7.308,7.262,7.23,7.18,5436000,7.231,7.231,,37308100.9,37308100.9,,0.0,3,SUR,-0.66
TQBR,2024-05-24,РН-ЗапСиб,CHGZ,124,920816.0,146.0,141.0,147.0,143.0,143.2,145.2,6430,143.2,143.2,,920816.0,920816.0,,0.0,3,SUR,-0.27
TQBR,2024-05-24,ЧКПЗ ао,CHKZ,92,4704550.0,29650.0,28650.0,30150.0,28900.0,29200.0,28900.0,161,29200.0,29200.0,,4704550.0,4704550.0,,0.0,3,SUR,-2.03
TQBR,2024-05-24,СевСт-ао,CHMF,20271,1433516747.8,1997.6,1968.2,2002.4,1980.0,1985.2,1990.8,722088,1985.0,1985.0,,1241619800.4,1241619800.4,,0.0,3,SUR,-0.34
TQBR,2024-05-24,ЧМК ао,CHMK,134,2063470.0,7905.0,7740.0,7935.0,7770.0,7845.0,7770.0,263,7845.0,7845.0,,2063470.0,2063470.0,,0.0,3,SUR,-2.02
TQBR,2024-05-24,CIAN-адр,CIAN,4310,94259561.0,987.0,925.0,987.0,933.0,950.0,933.0,99230,950.0,950.0,,94259561.0,94259561.0,,0.0,3,SUR,-5.39
TQBR,2024-05-24,Телеграф,CNTL,1102,17665894.0,17.08,16.34,17.38,16.44,16.86,16.44,1048000,16.86,16.86,,17665894.0,17665894.0,,0.0,3,SUR,-4.53
SMAL,2024-05-24,Телеграф-п,CNTLP,1,11.92,11.92,11.92,11.92,,11.18,11.92,1,,,,0.0,0.0,,0.0,3,SUR,0.0
TQBR,2024-05-24,Телеграф-п,CNTLP,1069,11924546.0,11.04,11.02,11.4,11.08,11.18,11.08,1066500,11.18,11.18,,11924546.0,11924546.0,,0.0,3,SUR,-0.54
TQTF,2024-05-24,CNYM ETF,CNYM,263,4473369.12,133.45,132.61,133.45,132.84,133.79,132.87,33626,133.74,133.74,,16992619.44,16992619.44,,9966159.82,3,SUR,-0.57
TQTY,2024-05-24,CNYM ETF,CNYM,158,1225426.1,10.79,10.78,10.8,10.69,10.77,10.79,113631,133.74,133.74,,16992619.44,16992619.44,,802002.14,3,CNY,0.0
TQBR,2024-05-24,Каршеринг,DELI,5871,49444833.8,323.2,319.0,326.15,319.75,322.1,319.75,153508,322.1,322.1,,49444833.8,49444833.8,,0.0,3,SUR,-0.71
TQBR,2024-05-24,iДиасофт,DIAS,4612,128233117.0,6120.0,5911.5,6141.5,6000.5,6014.0,6000.5,21323,6014.0,6014.0,,128233117.0,128233117.0,,0.0,3,SUR,-1.94
SMAL,2024-05-24,ЗаводДИОД,DIOD,4,1691.82,20.83,16.0,20.83,,16.31,16.0,102,,,,0.0,0.0,,0.0,3,SUR,-23.74
TQBR,2024-05-24,ЗаводДИОД,DIOD,593,5413508.0,17.09,15.52,17.47,16.3,16.31,16.3,331900,16.31,16.31,,5413508.0,5413508.0,,0.0,3,SUR,-4.62
TQTF,2024-05-24,ETF DIVD,DIVD,214,1558725.2,1346.0,1313.0,1346.0,1323.2,1325.4,1320.6,1176,1325.8,1325.8,,1460937.0,1460937.0,,2263759.99,3,SUR,-1.33
SMAL,2024-05-24,ДетскийМир,DSKY,18,5325.1,44.66,44.18,44.66,,45.4,44.38,120,,,,0.0,0.0,,0.0,3,SUR,-0.09
TQPI,2024-05-24,ДетскийМир,DSKY,452,2636180.8,45.66,45.34,45.78,45.36,45.4,45.36,58060,45.4,45.4,,2636180.8,2636180.8,,0.0,3,SUR,-0.66
TQBR,2024-05-24,ДЭК ао,DVEC,428,5193112.0,3.299,3.08,3.299,3.118,3.165,3.118,1641000,3.165,3.165,,5193112.0,5193112.0,,0.0,3,SUR,-2.81
TQBR,2024-05-24,ДонскЗР,DZRD,131,1565405.0,4970.0,4700.0,5050.0,4890.0,4845.0,4880.0,323,4845.0,4845.0,,1565405.0,1565405.0,,0.0,3,SUR,-2.5
TQBR,2024-05-24,ДонскЗР п,DZRDP,226,2306740.0,3540.0,3400.0,3540.0,3420.0,3440.0,3420.0,670,3440.0,3440.0,,2306740.0,2306740.0,,0.0,3,SUR,-3.12
TQBR,2024-05-24,ЕвроЭлтех,EELT,931,7213107.0,19.46,19.2,19.58,19.34,19.32,19.34,373250,19.32,19.32,,7213107.0,7213107.0,,0.0,3,SUR,-0.62
SMAL,2024-05-24,ЭЛ5Энер ао,ELFV,13,453.29,0.6,0.5064,0.615,,0.6014,0.5996,782,,,,0.0,0.0,,0.0,3,SUR,-2.5
TQBR,2024-05-24,ЭЛ5Энер ао,ELFV,2549,64211073.4,0.6094,0.592,0.6132,0.604,0.6014,0.5938,106771000,0.6064,0.6064,,34973230.8,34973230.8,,0.0,3,SUR,-2.91
TQPI,2024-05-24,Электрцинк,ELTZ,0,0.0,,,,255.0,,,0,,,,0.0,0.0,,0.0,3,SUR,
TQBR,2024-05-24,ЭН+ГРУП ао,ENPG,8790,167315248.05,463.95,444.4,464.75,449.9,452.95,446.95,369384,454.25,454.25,,136168134.8,136168134.8,,0.0,3,SUR,-3.52
TQTF,2024-05-24,EQMX ETF,EQMX,12209,56749080.55,155.55,152.65,155.65,153.6,153.8,153.2,369017,153.85,153.85,,52355941.1,52355941.1,,83714117.54,3,SUR,-1.23
TQTF,2024-05-24,ESGE ETF,ESGE,218,621195.44,104.85,102.57,105.01,103.14,103.58,102.99,5997,,104.07,,0.0,500875.58,,640458.75,3,SUR,-1.56
TQTF,2024-05-24,ESGR ETF,ESGR,18,88904.0,1492.0,1466.5,1492.0,1475.5,1481.5,1475.5,60,,1495.5,,0.0,500965.0,,172540.4,3,SUR,-1.04
TQBR,2024-05-24,ETLN-гдр,ETLN,7897,45454401.34,96.06,92.46,96.66,94.08,93.92,94.08,483953,93.92,93.92,,45454401.34,45454401.34,,0.0,3,SUR,-2.04
TQBR,2024-05-24,ЕвроТранс,EUTR,81850,2975141963.45,237.0,220.55,238.0,222.45,227.65,222.45,13070102,227.65,227.65,,2975141963.45,2975141963.45,,0.0,3,SUR,-1.35
SMAL,2024-05-24,Россети,FEES,334,5361.33,0.11814,0.11296,0.11868,,0.1159,0.11296,46291,,,,0.0,0.0,,0.0,3,SUR,-5.69
TQBR,2024-05-24,Россети,FEES,17643,624970959.2,0.11924,0.11394,0.11984,0.11536,0.1159,0.11468,5392760000,0.116,0.116,,568580095.8,568580095.8,,0.0,3,SUR,-3.84
TQBR,2024-05-24,ДВМП ао,FESH,9533,200033836.3,79.86,77.17,80.61,78.7,78.81,77.41,2538110,79.19,79.19,,146388558.8,146388558.8,,0.0,3,SUR,-3.04
TQBR,2024-05-24,FIVE-гдр,FIVE,0,0.0,,,,2792.5,,,0,,2805.0,,0.0,14198910.0,,0.0,3,SUR,
