SECID,BOARDID,BID,BIDDEPTH,OFFER,OFFERDEPTH,SPREAD,BIDDEPTHT,OFFERDEPTHT,OPEN,LOW,HIGH,LAST,LASTCHANGE,LASTCHANGEPRCNT,QTY,VALUE,VALUE_USD,WAPRICE,LASTCNGTOLASTWAPRICE,WAPTOPREVWAPRICEPRCNT,WAPTOPREVWAPRICE,CLOSEPRICE,MARKETPRICETODAY,MARKETPRICE,LASTTOPREVPRICE,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,ETFSETTLEPRICE,TRADINGSTATUS,UPDATETIME,LASTBID,LASTOFFER,LCLOSEPRICE,LCURRENTPRICE,MARKETPRICE2,NUMBIDS,NUMOFFERS,CHANGE,TIME,HIGHBID,LOWOFFER,PRICEMINUSPREVWAPRICE,OPENPERIODPRICE,SEQNUM,SYSTIME,CLOSINGAUCTIONPRICE,CLOSINGAUCTIONVOLUME,ISSUECAPITALIZATION,ISSUECAPITALIZATION_UPDATETIME,ETFSETTLECURRENCY,VALTODAY_RUR,TRADINGSESSION,TRENDISSUECAPITALIZATION
CNTL,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,16.86,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,2731785480.0,00:00:00,,0,,0.0
CNTLP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,11.18,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,613710120.0,00:00:00,,0,,0.0
DELI,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,322.1,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,56227735975.75,00:00:00,,0,,0.0
DIAS,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,6014.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,63005250000.0,00:00:00,,0,,0.0
DIOD,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,16.31,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,1491450000.0,00:00:00,,0,,0.0
DVEC,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,3.165,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,53701650132.87,00:00:00,,0,,0.0
DZRD,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,4845.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,1675826160.0,00:00:00,,0,,0.0
DZRDP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,3440.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,391483980.0,00:00:00,,0,,0.0
EELT,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,19.32,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,10672063420.0,00:00:00,,0,,0.0
ELFV,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,0.6064,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,21003833252.11,00:00:00,,0,,0.0
ENPG,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,454.25,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,285533514067.2,00:00:00,,0,,0.0
ETLN,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,93.92,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,,,,0,,
EUTR,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,227.65,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,35402620529.25,00:00:00,,0,,0.0
FEES,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,0.116,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,242371604437.38,00:00:00,,0,,0.0
FESH,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,79.19,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,228456262500.0,00:00:00,,0,,0.0
FIVE,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,2805.0,0,0,0,0,0,,B,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,,,,0,,
FIXP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,283.7,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,,,,0,,
FLOT,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,133.53,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,315399190052.8,00:00:00,,0,,0.0
GAZC,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,148526475059.0,00:00:00,,0,,0.0
GAZP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,134.78,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,3156626210086.0,00:00:00,,0,,0.0
GAZS,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,173261023313.0,00:00:00,,0,,0.0
GAZT,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,819813813700.0,00:00:00,,0,,0.0
GCHE,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,4821.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,202159137096.0,00:00:00,,0,,0.0
GECO,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,44.14,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,3619630000.0,00:00:00,,0,,0.0
GEMA,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,177.5,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,2618707968.0,00:00:00,,0,,0.0
GEMC,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,798.3,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,71982000000.0,00:00:00,,0,,0.0
GLTR,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,773.45,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,,,,0,,
GMKN,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,153.88,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,2339421427688.0,00:00:00,,0,,0.0
GTRK,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,413.4,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,24086393440.0,00:00:00,,0,,0.0
HHRU,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,5038.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,,,,0,,
HIMCP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,29.56,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,6760348474.88,00:00:00,,0,,0.0
HNFG,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,748.2,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,29649822629.5,00:00:00,,0,,0.0
HYDR,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,0.7158,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,310866091211.86,00:00:00,,0,,0.0
IGST,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,11180.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,8679902360.0,00:00:00,,0,,0.0
IGSTP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,8300.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,2135280000.0,00:00:00,,0,,0.0
INGR,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,1787.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,73331790747.0,00:00:00,,0,,0.0
IRAO,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,4.3335,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,449859600000.0,00:00:00,,0,,0.0
IRKT,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,62.7,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,705859907584.4,00:00:00,,0,,0.0
JNOS,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,24.35,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,22616877032.75,00:00:00,,0,,0.0
