SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
GAZC,TQBR,ГАЗКОН-ао,659.0,10,10.0,A,Т+: Акции и ДР - безадрес.,0,ГАЗКОН (ПАО) ао,,FNDT,EQIN,,1.0,659.0,SUR,2024-05-24,225381601,RU000A0JQG86,Gazkon ao,1-01-09870-A,659.0,SUR,1,3,2024-05-28
GAZP,TQBR,ГАЗПРОМ ао,133.34,10,5.0,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,134.6,SUR,2024-05-24,23673512900,RU0007661625,Gazprom,1-02-00028-A,133.75,SUR,1,1,2024-05-28
GAZS,TQBR,ГАЗ-сервис,839.0,10,10.0,A,Т+: Акции и ДР - безадрес.,0,ГАЗ-сервис (ПАО) ао,,FNDT,EQIN,,1.0,839.0,SUR,2024-05-24,206508967,RU000A0JQG78,Gaz-servis ao,1-01-09871-A,839.0,SUR,1,3,2024-05-28
GAZT,TQBR,ГАЗ-Тек ао,1739.0,10,100.0,A,Т+: Акции и ДР - безадрес.,1,ГАЗ-Тек ПАО ао,,FNDT,EQIN,,0.5,1739.0,SUR,2024-05-24,471428300,RU000A0JS199,GAZ-Tek PAO ao,1-01-12996-A,1739.0,SUR,1,3,2024-05-28
GCHE,TQBR,ЧеркизГ-ао,4788.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Группа Черкизово ПАО-ао,,FNDT,EQIN,,0.5,4821.0,SUR,2024-05-24,42222042,RU000A0JL4R1,Cherkizovo Group ao,1-02-10797-A,4788.0,SUR,1,3,2024-05-28
GECO,TQBR,iГЕНЕТИКО,43.61,10,0.01,A,Т+: Акции и ДР - безадрес.,2,ЦГРМ ГЕНЕТИКО ао,,FNDT,EQIN,,0.01,44.14,SUR,2024-05-24,83000000,RU000A105BN4,GENETICO,1-01-87198-H,43.61,SUR,1,3,2024-05-28
GEMA,TQBR,iММЦБ ао,175.4,10,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО ММЦБ ао,,FNDT,EQIN,,0.05,177.5,SUR,2024-05-24,14929920,RU000A100GC7,IMCB PJSC,1-01-85932-H,175.4,SUR,1,3,2024-05-28
GEMC,TQBR,МКПАО ЮМГ,799.8,1,0.03721404,A,Т+: Акции и ДР - безадрес.,1,Юнайтед Медикал Груп ПАО,,FNDT,EQIN,,0.1,798.3,SUR,2024-05-24,90000000,RU000A107JE2,IPJSC UMG,1-01-16774-A,799.8,SUR,1,1,2024-05-28
GLTR,TQBR,GLTR-гдр,771.45,1,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР Globaltrans Invest ORD SHS,,FNDT,EQIN,,0.05,773.25,USD,2024-05-24,0,US37949E2046,GDR Globaltrans Inves ORD SHS,,773.55,SUR,D,1,2024-05-28
GMKN,TQBR,ГМКНорНик,153.04,10,0.01,A,Т+: Акции и ДР - безадрес.,2,"ГМК ""Нор.Никель"" ПАО ао",,FNDT,EQIN,,0.02,153.78,SUR,2024-05-24,15286339700,RU0007288411,NorNickel GMK,1-01-40155-F,152.24,SUR,1,1,2024-05-28
