SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
KRSB,TQBR,Красэсб ао,18.18,100,0.02,A,Т+: Акции и ДР - безадрес.,2,Красноярскэнергосбыт ао,,FNDT,EQIN,,0.02,18.2,SUR,2024-05-23,596039612,RU000A0HMLY1,Krashojarskenergosbyt,1-01-55147-E,18.18,SUR,1,3,2024-05-27
KRSBP,TQBR,Красэсб ап,18.24,100,0.02,A,Т+: Акции и ДР - безадрес.,2,Красноярскэнергосбыт ап,,FNDT,EQIN,,0.02,18.3,SUR,2024-05-23,168993328,RU000A0HMLZ8,Krashojarskenergosbyt pref.,2-01-55147-E,18.24,SUR,2,3,2024-05-27
KUBE,TQBR,РСетКубань,337.4,10,100.0,A,Т+: Акции и ДР - безадрес.,1,"""Россети Кубань"" ПАО",,FNDT,EQIN,,0.2,339.8,SUR,2024-05-23,334657837,RU0009046767,Rosseti Kuban,1-02-00063-A,337.4,SUR,1,3,2024-05-27
KUZB,TQBR,КузнецкийБ,0.05835,10000,0.01,A,Т+: Акции и ДР - безадрес.,5,"Банк ""Кузнецкий"" ПАО ао",,FNDT,EQIN,,5e-05,0.05825,SUR,2024-05-23,22503490875,RU000A0JSQ66,"Bank ""Kuzneckiy""",10100609B,0.05835,SUR,1,3,2024-05-27
KZOS,TQBR,ОргСинт ао,116.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Органический синтез"" ао",,FNDT,EQIN,,0.1,117.2,SUR,2024-05-23,1785114000,RU0009089825,PAO Organicheskiy Sintez ao,1-02-55245-D,116.0,SUR,1,3,2024-05-27
KZOSP,TQBR,ОргСинт ап,27.07,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Органический синтез"" ап",,FNDT,EQIN,,0.01,27.07,SUR,2024-05-23,119596000,RU0006753456,PAO Organicheskiy Sintez ap,2-02-55245-D,27.07,SUR,2,3,2024-05-27
LEAS,TQBR,Европлан,1027.6,1,1.0,A,Т+: Акции и ДР - безадрес.,1,ПАО «ЛК «Европлан»,,FNDT,EQIN,,0.1,1027.9,SUR,2024-05-23,120000000,RU000A0ZZFS9,Europlan,1-01-16419-A,1027.6,SUR,1,1,2024-05-27
LENT,TQBR,Лента ао,1137.0,1,0.0912632,A,Т+: Акции и ДР - безадрес.,1,Лента МКПАО ао,,FNDT,EQIN,,0.5,1149.0,SUR,2024-05-23,115985197,RU000A102S15,Lenta IPJSC ORD SHS,1-01-16686-A,1137.0,SUR,1,1,2024-05-27
LKOH,TQBR,ЛУКОЙЛ,7841.5,1,0.025,A,Т+: Акции и ДР - безадрес.,1,НК ЛУКОЙЛ (ПАО) - ао,,FNDT,EQIN,,0.5,7817.5,SUR,2024-05-23,692865762,RU0009024277,LUKOIL,1-01-00077-A,7861.0,SUR,1,1,2024-05-27
LNZL,TQBR,Лензолото,15910.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""Лензолото"" ПАО ао",,FNDT,EQIN,,10.0,15960.0,SUR,2024-05-23,1140300,RU000A0JP1N2,Lenzoloto,1-02-40433-N,15910.0,SUR,1,3,2024-05-27
LNZLP,TQBR,Лензол. ап,2730.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""Лензолото"" ПАО ап",,FNDT,EQIN,,5.0,2755.0,SUR,2024-05-23,347700,RU000A0JP1P7,Lenzoloto pref.,2-02-40433-N,2730.0,SUR,2,3,2024-05-27
LSNG,TQBR,РСетиЛЭ,21.24,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Ленэнерго ПАО-ао,,FNDT,EQIN,,0.01,21.23,SUR,2024-05-23,8523785320,RU0009034490,Rosseti LenEnrg,1-01-00073-A,21.24,SUR,1,3,2024-05-27
LSNGP,TQBR,РСетиЛЭ-п,224.0,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Ленэнерго ПАО-ап,,FNDT,EQIN,,0.05,222.25,SUR,2024-05-23,93264311,RU0009092134,Rosseti LenEnrg (pref),2-01-00073-A,224.0,SUR,2,3,2024-05-27
LSRG,TQBR,ЛСР ао,845.0,1,0.25,A,Т+: Акции и ДР - безадрес.,1,Группа ЛСР ПАО ао,,FNDT,EQIN,,0.2,844.2,SUR,2024-05-23,103030215,RU000A0JPFP0,LSR,1-01-55234-E,845.0,SUR,1,1,2024-05-27
LVHK,TQBR,Левенгук,53.65,100,10.0,A,Т+: Акции и ДР - безадрес.,2,Левенгук ПАО ао,,FNDT,EQIN,,0.05,54.35,SUR,2024-05-23,52940000,RU000A0JT7Y2,Levenguk ao,1-01-04329-D,53.65,SUR,1,3,2024-05-27
MAGE,TQBR,МагадЭн ао,5.05,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Магаданэнерго"" ПАО ао",,FNDT,EQIN,,0.01,5.12,SUR,2024-05-23,463838268,RU0006758919,Magadanenergo ao,1-01-00254-A,5.05,SUR,1,3,2024-05-27
MAGEP,TQBR,МагадЭн ап,3.54,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Магаданэнерго"" ПАО ап",,FNDT,EQIN,,0.01,3.54,SUR,2024-05-23,145673254,RU0006758893,Magadanenergo ap,2-01-00254-A,3.54,SUR,2,3,2024-05-27
MAGN,TQBR,ММК,59.9,10,1.0,A,Т+: Акции и ДР - безадрес.,3,"""Магнитогорск.мет.комб"" ПАО ао",,FNDT,EQIN,,0.005,59.565,SUR,2024-05-23,11174330000,RU0009084396,MMK,1-03-00078-A,59.9,SUR,1,1,2024-05-27
MBNK,TQBR,МТС Банк,2502.0,1,500.0,A,Т+: Акции и ДР - безадрес.,1,МТС-Банк ао,,FNDT,EQIN,,0.5,2507.5,SUR,2024-05-23,34629063,RU000A0JRH43,MTS Bank,10102268B,2502.0,SUR,1,1,2024-05-27
MDMG,TQBR,MDMG-гдр,1072.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР MD Medical Group Inv. PLC,,FNDT,EQIN,,0.1,1072.9,USD,2024-05-23,0,US55279C2008,GDR MD Medical Group Inv. PLC,,1072.0,SUR,D,1,2024-05-27
MFGS,TQBR,Мегион-ао,465.5,10,25.0,A,Т+: Акции и ДР - безадрес.,1,"ао ""Славнефть-Мегионнефтегаз""",,FNDT,EQIN,,0.5,464.0,SUR,2024-05-23,99474705,RU0009011126,Megion,1-03-00149-A,465.0,SUR,1,3,2024-05-27
MFGSP,TQBR,Мегион-ап,329.5,10,25.0,A,Т+: Акции и ДР - безадрес.,1,ап Мегионнефтегаз,,FNDT,EQIN,,0.5,329.0,SUR,2024-05-23,33056875,RU0009011134,Megion (pref),2-03-00149-A,329.5,SUR,2,3,2024-05-27
MGKL,TQBR,МГКЛ,2.726,100,0.01,A,Т+: Акции и ДР - безадрес.,4,МГКЛ ао,,FNDT,EQIN,,0.0005,2.7215,SUR,2024-05-23,1268545000,RU000A0JVJQ8,MGKL,1-01-11915-A,2.718,SUR,1,3,2024-05-27
MGNT,TQBR,Магнит ао,8082.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,"""Магнит"" ПАО ао",,FNDT,EQIN,,0.5,8101.0,SUR,2024-05-23,101911355,RU000A0JKQU8,Magnit,1-01-60525-P,8077.5,SUR,1,3,2024-05-27
MGNZ,TQBR,СМЗ-ао,7440.0,1,0.25,A,Т+: Акции и ДР - безадрес.,0,Соликамский магн.завод(ОАО)ао,,FNDT,EQIN,,10.0,7330.0,SUR,2024-05-23,398272,RU0009100911,SMZ,1-01-00283-A,7440.0,SUR,1,3,2024-05-27
MGTS,TQBR,МГТС-5ао,1630.0,1,40.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ""МГТС"" ао (5 в)",,FNDT,EQIN,,5.0,1605.0,SUR,2024-05-23,79708751,RU0009036461,MGTS-5,1-05-00083-A,1630.0,SUR,1,3,2024-05-27
MGTSP,TQBR,МГТС-4ап,1272.0,1,40.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ""МГТС"" ап (4 в)",,FNDT,EQIN,,2.0,1256.0,SUR,2024-05-23,15514042,RU0009036479,MGTS-4,2-04-00083-A,1272.0,SUR,2,3,2024-05-27
MISB,TQBR,ТНСэнМарЭл,74.5,100,0.1,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Марий Эл ПАО ао,,FNDT,EQIN,,0.1,74.7,SUR,2024-05-23,121847780,RU000A0D8K33,TNS energo Mariy El ao,1-01-50086-A,74.3,SUR,1,3,2024-05-27
MISBP,TQBR,ТНСэМаЭл-п,71.2,100,0.1,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Марий Эл ПАО ап,,FNDT,EQIN,,0.1,71.0,SUR,2024-05-23,10652220,RU000A0D8K41,TNS energo Mariy El (pref),2-01-50086-A,71.2,SUR,2,3,2024-05-27
MOEX,TQBR,МосБиржа,237.0,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ПАО Московская Биржа,,FNDT,EQIN,,0.01,236.44,SUR,2024-05-23,2276401458,RU000A0JR4A1,MoscowExchange,1-05-08443-H,237.8,SUR,1,1,2024-05-27
MRKC,TQBR,РоссЦентр,0.5998,1000,0.1,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""Россети Центр"" ао",,FNDT,EQIN,,0.0002,0.6008,SUR,2024-05-23,42217941468,RU000A0JPPL8,Rosseti Centr,1-01-10214-A,0.5998,SUR,1,2,2024-05-27
MRKK,TQBR,Россети СК,25.68,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Сев. Кавказ ао,,FNDT,EQIN,,0.02,25.96,SUR,2024-05-23,2093354170,RU000A0JPPQ7,Rosseti Severnyy Kavkaz ao,1-01-34747-E,25.68,SUR,1,3,2024-05-27
MRKP,TQBR,РСетиЦП ао,0.3605,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,Россети Центр и Приволжье ао,,FNDT,EQIN,,0.0001,0.3595,SUR,2024-05-23,112697817043,RU000A0JPN96,Rosseti Centr i Privoljye ao,1-01-12665-E,0.3605,SUR,1,2,2024-05-27
MRKS,TQBR,РсетСиб ао,0.76,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,Россети Сибирь ао,,FNDT,EQIN,,0.0005,0.763,SUR,2024-05-23,94815163249,RU000A0JPPF0,Rosseti Sibir,1-01-12044-F,0.76,SUR,1,2,2024-05-27
MRKU,TQBR,Россети Ур,0.685,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,Россети Урал (ПАО) ао,,FNDT,EQIN,,0.0002,0.6848,SUR,2024-05-23,87430485711,RU000A0JPPT1,Rosseti Ural ao,1-01-32501-D,0.685,SUR,1,2,2024-05-27
MRKV,TQBR,РсетВол ао,0.072,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,Россети Волга ао,,FNDT,EQIN,,5e-05,0.07155,SUR,2024-05-23,188307958732,RU000A0JPPN4,Rosseti Volga,1-01-04247-E,0.072,SUR,1,2,2024-05-27
MRKY,TQBR,РоссЮг ао,0.09,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,Россети Юг  (ПАО) ао,,FNDT,EQIN,,5e-05,0.09105,SUR,2024-05-23,151641426354,RU000A0JPPG8,Rosseti South ao,1-01-34956-E,0.09,SUR,1,3,2024-05-27
MRKZ,TQBR,РСетиСЗ ао,0.094,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,ПАО Россети Северо-Запад ао,,FNDT,EQIN,,5e-05,0.09435,SUR,2024-05-23,95785923138,RU000A0JPPB9,Rosseti Severo-Zapad,1-01-03347-D,0.094,SUR,1,2,2024-05-27
MRSB,TQBR,МордЭнСб,0.922,10000,0.0136,A,Т+: Акции и ДР - безадрес.,3,Мордовск.энергсбыт.комп.ПАО ао,,FNDT,EQIN,,0.001,0.93,SUR,2024-05-23,1345037710,RU000A0D9AJ7,Mordovskaya EnergoSbyt Comp.,1-01-55055-E,0.922,SUR,1,3,2024-05-27
MSNG,TQBR,+МосЭнерго,3.423,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,МосЭнерго акции обыкн.,,FNDT,EQIN,,0.0005,3.3985,SUR,2024-05-23,39749359700,RU0008958863,MosEnrg,1-01-00085-A,3.394,SUR,1,1,2024-05-27
MSRS,TQBR,РСетиМР ао,1.3975,1000,0.5,A,Т+: Акции и ДР - безадрес.,4,ПАО Россети Моск.рег. ао,,FNDT,EQIN,,0.0005,1.394,SUR,2024-05-23,48707091574,RU000A0ET7Y7,Rosseti Moscow Region,1-01-65116-D,1.3975,SUR,1,2,2024-05-27
MSTT,TQBR,Мостотрест,206.45,10,0.14,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""МОСТОТРЕСТ"" ао",,FNDT,EQIN,,0.05,207.7,SUR,2024-05-23,282215500,RU0009177331,Mostotrest,1-03-02472-A,206.45,SUR,1,3,2024-05-27
MTLR,TQBR,Мечел ао,234.52,1,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ао,,FNDT,EQIN,,0.01,235.24,SUR,2024-05-23,416270745,RU000A0DKXV5,Mechel,1-01-55005-E,236.13,SUR,1,1,2024-05-27
MTLRP,TQBR,Мечел ап,243.9,10,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ап,,FNDT,EQIN,,0.05,245.9,SUR,2024-05-23,138756915,RU000A0JPV70,Mechel pref.,2-01-55005-E,246.0,SUR,2,1,2024-05-27
MTSS,TQBR,МТС-ао,306.45,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Мобильные ТелеСистемы ПАО ао,,FNDT,EQIN,,0.05,305.7,SUR,2024-05-23,1998381575,RU0007775219,MTS,1-01-04715-A,308.35,SUR,1,1,2024-05-27
MVID,TQBR,М.видео,180.4,1,10.0,A,Т+: Акции и ДР - безадрес.,1,"""М.видео"" ПАО ао",,FNDT,EQIN,,0.1,183.5,SUR,2024-05-23,179768227,RU000A0JPGA0,M.video,1-02-11700-A,181.5,SUR,1,1,2024-05-27
NAUK,TQBR,iНПОНаука,704.5,10,0.2,A,Т+: Акции и ДР - безадрес.,1,НПО Наука ао,,FNDT,EQIN,,0.5,709.0,SUR,2024-05-23,11789500,RU000A0JRPX9,NPO Nauka ao,1-01-04440-A,704.5,SUR,1,3,2024-05-27
NFAZ,TQBR,НЕФАЗ,497.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,НЕФАЗ ПАО ао,,FNDT,EQIN,,0.5,498.0,SUR,2024-05-23,8038896,RU0009115604,NEFAZ PAO ao,1-01-30520-D,497.0,SUR,1,3,2024-05-27
NKHP,TQBR,НКХП ао,1084.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,НКХП ПАО ао,,FNDT,EQIN,,0.5,1094.0,SUR,2024-05-23,67597000,RU000A0BLWD7,NKHP ao,1-03-35684-E,1084.0,SUR,1,3,2024-05-27
NKNC,TQBR,НКНХ ао,100.3,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Нижнекамскнефтехим"" ПАО ао",,FNDT,EQIN,,0.05,99.4,SUR,2024-05-23,1611256000,RU0009100507,Niznekamskneftekhim ao,1-02-00096-A,100.3,SUR,1,3,2024-05-27
NKNCP,TQBR,НКНХ ап,77.36,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Нижнекамскнефтехим"" ПАО ап",,FNDT,EQIN,,0.02,77.62,SUR,2024-05-23,218983750,RU0006765096,Niznekamskneftekhim (pref),2-02-00096-A,77.36,SUR,2,3,2024-05-27
NKSH,TQBR,Нижкамшина,72.65,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Нижнекамскшина ПАО ао,,FNDT,EQIN,,0.05,72.6,SUR,2024-05-23,63731171,RU0009100515,Nizhnekamskshina ao,1-02-55032-D,72.65,SUR,1,3,2024-05-27
NLMK,TQBR,НЛМК ао,256.3,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""НЛМК"" ао",,FNDT,EQIN,,0.02,255.18,SUR,2024-05-23,5993227240,RU0009046452,NLMK ao,1-01-00102-A,255.2,SUR,1,1,2024-05-27
NMTP,TQBR,НМТП ао,12.17,100,0.01,A,Т+: Акции и ДР - безадрес.,3,НМТП (ПАО) ао,,FNDT,EQIN,,0.005,12.23,SUR,2024-05-23,19259815400,RU0009084446,NMTP,1-01-30251-E,12.255,SUR,1,3,2024-05-27
NNSB,TQBR,ТНСэнНН ао,4910.0,1,11.88,A,Т+: Акции и ДР - безадрес.,0,ТНС энерго Нижний Новг.ПАО ао,,FNDT,EQIN,,10.0,4980.0,SUR,2024-05-23,3919400,RU000A0ET5A1,TNS energo Nizhniy-Novgorod ao,1-01-55072-E,4910.0,SUR,1,3,2024-05-27
NNSBP,TQBR,ТНСэнНН ап,1714.0,1,11.88,A,Т+: Акции и ДР - безадрес.,0,ТНС энерго Нижний Новг.ПАО ап,,FNDT,EQIN,,2.0,1724.0,SUR,2024-05-23,1063512,RU000A0ET5B9,TNS energo Nizhniy Novg. pref,2-01-55072-E,1714.0,SUR,2,3,2024-05-27
NSVZ,TQBR,iНаукаСвяз,526.5,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Наука-Связь ПАО ао,,FNDT,EQIN,,0.5,530.5,SUR,2024-05-23,15701562,RU000A0JQLB6,Nauka-Svyaz ao,1-01-12689-A,526.5,SUR,1,3,2024-05-27
NVTK,TQBR,Новатэк ао,1164.8,1,0.1,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""НОВАТЭК"" ао",,FNDT,EQIN,,0.2,1167.8,SUR,2024-05-23,3036306000,RU000A0DKVS5,NOVATEK,1-02-00268-E,1165.4,SUR,1,1,2024-05-27
OGKB,TQBR,ОГК-2 ао,0.5299,1000,0.3627,A,Т+: Акции и ДР - безадрес.,4,ОГК-2 ПАО ао,,FNDT,EQIN,,0.0001,0.5334,SUR,2024-05-23,110441160870,RU000A0JNG55,OGK-2,1-02-65105-D,0.53,SUR,1,2,2024-05-27
OKEY,TQBR,OKEY-гдр,31.03,10,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР OKEY Group S.A. ORD SHS,,FNDT,EQIN,,0.01,31.1,USD,2024-05-23,0,US6708662019,GDR OKEY Group ORD SHS,,31.03,SUR,D,1,2024-05-27
OMZZP,TQBR,ОМЗ-ап,20920.0,1,0.1,A,Т+: Акции и ДР - безадрес.,0,"ап""Объединён.  маш. заводы""",,FNDT,EQIN,,20.0,21100.0,SUR,2024-05-23,2750000,RU0009090559,OMZ (pref),2-01-30174-D,20920.0,SUR,2,3,2024-05-27
OZON,TQBR,OZON-адр,4641.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Ozon Holdings PLC ORD SHS,,FNDT,EQIN,,0.5,4649.5,USD,2024-05-23,0,US69269L1044,ADS Ozon Holdings PLC ORD SHS,,4661.5,SUR,D,1,2024-05-27
PHOR,TQBR,ФосАгро ао,6182.0,1,2.5,A,Т+: Акции и ДР - безадрес.,0,ФосАгро ПАО ао,,FNDT,EQIN,,1.0,6199.0,SUR,2024-05-23,129500000,RU000A0JRKT8,PhosAgro ao,1-02-06556-A,6185.0,SUR,1,1,2024-05-27
PIKK,TQBR,ПИК ао,863.0,1,62.5,A,Т+: Акции и ДР - безадрес.,1,ПИК СЗ (ПАО) ао,,FNDT,EQIN,,0.1,854.6,SUR,2024-05-23,660497344,RU000A0JP7J7,PIK SZ,1-02-01556-A,869.9,SUR,1,1,2024-05-27
PLZL,TQBR,Полюс,13938.5,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Полюс ПАО ао,,FNDT,EQIN,,0.5,13978.5,SUR,2024-05-23,136069400,RU000A0JNAA8,Polus,1-01-55192-E,14145.0,SUR,1,1,2024-05-27
PMSB,TQBR,ПермьЭнСб,320.3,10,3.25,A,Т+: Акции и ДР - безадрес.,1,"""Пермэнергосбыт"" ПАО ао",,FNDT,EQIN,,0.1,317.5,SUR,2024-05-23,36210960,RU000A0ET123,Perm' EnergoSbyt,1-01-55084-E,320.3,SUR,1,3,2024-05-27
PMSBP,TQBR,ПермьЭнС-п,322.4,10,3.25,A,Т+: Акции и ДР - безадрес.,1,"""Пермэнергосбыт"" ПАО ап",,FNDT,EQIN,,0.2,312.8,SUR,2024-05-23,11353500,RU000A0ET156,Perm' EnergoSbyt (pref),2-01-55084-E,322.4,SUR,2,3,2024-05-27
POLY,TQBR,Polymetal,292.2,1,0.03,A,Т+: Акции и ДР - безадрес.,1,Polymetal International plc,,FNDT,EQIN,,0.1,295.2,USD,2024-05-23,515259819,JE00B6T5S470,Polymetal International plc,,294.1,SUR,1,3,2024-05-27
POSI,TQBR,iПозитив,3135.0,1,0.5,A,Т+: Акции и ДР - безадрес.,1,Группа Позитив ао,,FNDT,EQIN,,0.2,3117.8,SUR,2024-05-23,66000000,RU000A103X66,PJSC Positive Group,1-01-85307-H,3132.8,SUR,1,1,2024-05-27
PRFN,TQBR,ЧЗПСН ао,6.01,100,0.1,A,Т+: Акции и ДР - безадрес.,3,ЧЗПСН-Профнастил (ПАО) ао,,FNDT,EQIN,,0.002,6.044,SUR,2024-05-23,838287450,RU000A0JNXF9,CZPSN-Profnasteel,1-01-45194-D,6.01,SUR,1,3,2024-05-27
PRMB,TQBR,Приморье,35400.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,"АКБ ""Приморье"" ао",,FNDT,EQIN,,200.0,35200.0,SUR,2024-05-23,250000,RU000A0DPNQ5,AKB Primorye,10103001B,35400.0,SUR,1,3,2024-05-27
QIWI,TQBR,iQIWI,185.8,1,0.0,A,Т+: Акции и ДР - безадрес.,1,QIWI PLC,,FNDT,EQIN,,0.2,187.0,USD,2024-05-23,0,US74735M1080,QIWI PLC,,185.2,SUR,D,3,2024-05-27
RASP,TQBR,Распадская,405.7,10,0.004,A,Т+: Акции и ДР - безадрес.,2,ПАО Распадская ао,,FNDT,EQIN,,0.05,406.0,SUR,2024-05-23,665733918,RU000A0B90N8,Raspadskaya,1-04-21725-N,407.0,SUR,1,2,2024-05-27
RBCM,TQBR,ГК РБК ао,19.398,100,0.00064,A,Т+: Акции и ДР - безадрес.,3,ГК РБК ПАО ао,,FNDT,EQIN,,0.002,19.604,SUR,2024-05-23,365631010,RU000A0JR6A6,GK RBK ao,1-02-56413-H,19.398,SUR,1,3,2024-05-27
RDRB,TQBR,РДБанк ао,207.5,10,124.0,A,Т+: Акции и ДР - безадрес.,1,РоссийскийДорож Банк ПАО ао,,FNDT,EQIN,,0.5,206.0,SUR,2024-05-23,21472741,RU000A0JU6Q7,RosDor Bank ao,10201573B,207.5,SUR,1,3,2024-05-27
RENI,TQBR,Ренессанс,109.0,10,9.88,A,Т+: Акции и ДР - безадрес.,2,Ренессанс Страхование ао,,FNDT,EQIN,,0.02,110.02,SUR,2024-05-23,556952780,RU000A0ZZM04,Renaissance Insurance,1-01-10601-Z,109.0,SUR,1,1,2024-05-27
RGSS,TQBR,РГС СК ао,0.3178,1000,0.03,A,Т+: Акции и ДР - безадрес.,4,Росгосстрах СК ПАО ао,,FNDT,EQIN,,0.0002,0.319,SUR,2024-05-23,489503740915,RU0008010855,Rosgosstrakh ao,1-03-10003-Z,0.3178,SUR,1,3,2024-05-27
RKKE,TQBR,ЭнергияРКК,26200.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,РКК Энергия им.С.П.Королева ао,,FNDT,EQIN,,10.0,26470.0,SUR,2024-05-23,1807401,RU0009095939,RKK Energia,1-03-01091-A,26200.0,SUR,1,3,2024-05-27
RNFT,TQBR,РуссНфт ао,221.3,1,0.5,A,Т+: Акции и ДР - безадрес.,1,РуссНефть НК ПАО ао,,FNDT,EQIN,,0.1,222.6,SUR,2024-05-23,294120000,RU000A0JSE60,RussNeft NK,1-02-39134-H,221.9,SUR,1,1,2024-05-27
ROLO,TQBR,Русолово,1.1632,1000,0.1,A,Т+: Акции и ДР - безадрес.,4,"""Русолово"" ПАО ао",,FNDT,EQIN,,0.0002,1.1676,SUR,2024-05-23,30001000000,RU000A0JU1B0,Rusolovo PAO ao,1-01-15065-A,1.1632,SUR,1,3,2024-05-27
ROSB,TQBR,Росбанк ао,121.2,10,10.0,A,Т+: Акции и ДР - безадрес.,1,РОСБАНК ПАО ао,,FNDT,EQIN,,0.2,119.6,SUR,2024-05-23,1551401853,RU000A0HHK26,ROSBANK,10102272B,121.2,SUR,1,3,2024-05-27
ROSN,TQBR,Роснефть,593.15,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,593.35,SUR,2024-05-23,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,593.7,SUR,1,1,2024-05-27
ROST,TQBR,РОСИНТЕРао,176.0,10,169.7,A,Т+: Акции и ДР - безадрес.,1,РОСИНТЕР РЕСТОРАНТС (ПАО),,FNDT,EQIN,,0.2,176.0,SUR,2024-05-23,16305334,RU000A0JP922,ROSINTER RESTAURANTS ao,1-02-55033-E,176.0,SUR,1,3,2024-05-27
RTGZ,TQBR,ГазпРнД ао,47300.0,1,2000.0,A,Т+: Акции и ДР - безадрес.,0,Газпром газорасп Р-н-Д ПАО ао,,FNDT,EQIN,,100.0,46200.0,SUR,2024-05-23,120246,RU000A0JPG04,Gazprom gazorasp. Rostov ao,1-02-30742-E,47300.0,SUR,1,3,2024-05-27
RTKM,TQBR,Ростел -ао,106.4,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ао.,,FNDT,EQIN,,0.01,105.68,SUR,2024-05-23,3282997929,RU0008943394,Rostelecom,1-01-00124-A,104.77,SUR,1,1,2024-05-27
RTKMP,TQBR,Ростел -ап,86.7,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ап.,,FNDT,EQIN,,0.05,87.85,SUR,2024-05-23,209565147,RU0009046700,Rostelecom- (pref),2-01-00124-A,87.3,SUR,2,1,2024-05-27
RTSB,TQBR,ТНСэнРст,4.765,1000,0.02,A,Т+: Акции и ДР - безадрес.,3,ТНС энерго Ростов. ПАО ао,,FNDT,EQIN,,0.005,4.775,SUR,2024-05-23,8128764676,RU000A0D8PB4,TNS energo Rostov-na-Dony ao,1-01-50095-A,4.765,SUR,1,3,2024-05-27
RTSBP,TQBR,ТНСэнРст-п,2.246,1000,0.02,A,Т+: Акции и ДР - безадрес.,3,ТНС энерго Ростов. ПАО ап,,FNDT,EQIN,,0.002,2.252,SUR,2024-05-23,925737256,RU000A0D8PC2,TNS energo Rostov-na-Dony(prf),2-01-50095-A,2.246,SUR,2,3,2024-05-27
RUAL,TQBR,РУСАЛ ао,45.07,10,0.656517,A,Т+: Акции и ДР - безадрес.,3,РУСАЛ ОК МКПАО ао,,FNDT,EQIN,,0.005,44.695,SUR,2024-05-23,15193014862,RU000A1025V3,RUSAL ao,1-01-16677-A,45.685,SUR,1,1,2024-05-27
RUSI,TQBR,ИКРУСС-ИНВ,123.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,РУСС-ИНВЕСТ ИК ПАО ао,,FNDT,EQIN,,0.1,123.1,SUR,2024-05-23,109000000,RU000A0JQ9W5,RUSS-INVEST IC ao,1-01-00409-A,123.0,SUR,1,3,2024-05-27
RZSB,TQBR,РязЭнСб,44.28,100,0.05,A,Т+: Акции и ДР - безадрес.,2,"""Рязанская энергосб.комп"" ПАО",,FNDT,EQIN,,0.02,44.1,SUR,2024-05-23,206940220,RU000A0D9AF5,"JSC ""Ryazanenergosbyt""",1-01-50092-A,44.28,SUR,1,3,2024-05-27
