SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
DVEC,TQBR,ДЭК ао,3.208,1000,1.0,A,Т+: Акции и ДР - безадрес.,3,"""ДЭК"" ПАО ао",,FNDT,EQIN,,0.001,3.217,SUR,2024-05-23,17223107804,RU000A0JP2W1,DEC,1-01-55275-E,3.208,SUR,1,3,2024-05-27
DZRD,TQBR,ДонскЗР,5005.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Донской завод радиодеталей ао,,FNDT,EQIN,,5.0,5015.0,SUR,2024-05-23,343407,RU000A0JQW11,DZRD ao,1-01-02677-A,4975.0,SUR,1,3,2024-05-27
DZRDP,TQBR,ДонскЗР п,3530.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Донской завод радиодеталей ап,,FNDT,EQIN,,10.0,3580.0,SUR,2024-05-23,114469,RU000A0JQW29,DZRD pref.,2-01-02677-A,3530.0,SUR,2,3,2024-05-27
EELT,TQBR,ЕвроЭлтех,19.46,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"""ЕвропЭлектротехника"" ПАО ао",,FNDT,EQIN,,0.02,19.44,SUR,2024-05-23,551813000,RU000A0JWW54,European Eltech,1-01-83993-H,19.46,SUR,1,3,2024-05-27
ELFV,TQBR,ЭЛ5Энер ао,0.6116,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"""ЭЛ5-Энерго"" ПАО",,FNDT,EQIN,,0.0002,0.6092,SUR,2024-05-23,35371898370,RU000A0F5UN3,El5-Ener,1-01-50077-A,0.6102,SUR,1,1,2024-05-27
ENPG,TQBR,ЭН+ГРУП ао,463.25,1,7e-05,A,Т+: Акции и ДР - безадрес.,2,МКПАО ЭН+ ГРУП ао,,FNDT,EQIN,,0.05,459.6,USD,2024-05-23,638848896,RU000A100K72,EN+ GROUP IPJSC ORD SHS,1-01-16625-A,464.0,SUR,1,1,2024-05-27
ETLN,TQBR,ETLN-гдр,96.04,1,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР ETALON GROUP PLC ORD SHS,,FNDT,EQIN,,0.02,95.54,USD,2024-05-23,0,US29760G1031,GDR ETALON GROUP PLC ORD SHS,,96.04,SUR,D,1,2024-05-27
EUTR,TQBR,ЕвроТранс,225.5,1,0.05,A,Т+: Акции и ДР - безадрес.,2,ЕвроТранс ао,,FNDT,EQIN,,0.05,222.9,SUR,2024-05-23,159148665,RU000A1002V2,EvroTrans,1-01-80110-H,225.5,SUR,1,1,2024-05-27
FEES,TQBR,Россети,0.11926,10000,0.5,A,Т+: Акции и ДР - безадрес.,5,"""ФСК - Россети"" ПАО",,FNDT,EQIN,,2e-05,0.11898,SUR,2024-05-23,2113460101477,RU000A0JPNN9,FGC ROSSETI,1-01-65018-D,0.11984,SUR,1,1,2024-05-27
FESH,TQBR,ДВМП ао,79.84,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ДВ морское пароходство ПАО ао,,FNDT,EQIN,,0.01,80.29,SUR,2024-05-23,2951250000,RU0008992318,DVMP ao,1-03-00032-A,80.51,SUR,1,2,2024-05-27
FIVE,TQBR,FIVE-гдр,2798.0,1,0.0,N,Т+: Акции и ДР - безадрес.,1,ГДР X5 RetailGroup N.V.ORD SHS,,FNDT,EQIN,,0.5,2810.5,USD,2024-05-23,0,US98387E2054,GDR X5 RetailGroup N.V.ORD SHS,,2792.5,SUR,D,1,2024-05-27
FIXP,TQBR,FIXP-гдр,289.2,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР FixPrice Group PLC ORD SHS,,FNDT,EQIN,,0.1,289.5,USD,2024-05-23,0,US33835G2057,GDR FixPrice Group PLC ORD SHS,,289.1,SUR,D,1,2024-05-27
FLOT,TQBR,Совкомфлот,132.24,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Совкомфлот ао,,FNDT,EQIN,,0.01,130.49,SUR,2024-05-23,2374993901,RU000A0JXNU8,Sovcomflot,1-01-10613-A,132.38,SUR,1,1,2024-05-27
GAZC,TQBR,ГАЗКОН-ао,659.0,10,10.0,A,Т+: Акции и ДР - безадрес.,0,ГАЗКОН (ПАО) ао,,FNDT,EQIN,,1.0,659.0,SUR,2024-05-23,225381601,RU000A0JQG86,Gazkon ao,1-01-09870-A,659.0,SUR,1,3,2024-05-27
GAZP,TQBR,ГАЗПРОМ ао,134.69,10,5.0,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,135.66,SUR,2024-05-23,23673512900,RU0007661625,Gazprom,1-02-00028-A,134.9,SUR,1,1,2024-05-27
