SECID,BOARDID,BID,BIDDEPTH,OFFER,OFFERDEPTH,SPREAD,BIDDEPTHT,OFFERDEPTHT,OPEN,LOW,HIGH,LAST,LASTCHANGE,LASTCHANGEPRCNT,QTY,VALUE,VALUE_USD,WAPRICE,LASTCNGTOLASTWAPRICE,WAPTOPREVWAPRICEPRCNT,WAPTOPREVWAPRICE,CLOSEPRICE,MARKETPRICETODAY,MARKETPRICE,LASTTOPREVPRICE,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,ETFSETTLEPRICE,TRADINGSTATUS,UPDATETIME,LASTBID,LASTOFFER,LCLOSEPRICE,LCURRENTPRICE,MARKETPRICE2,NUMBIDS,NUMOFFERS,CHANGE,TIME,HIGHBID,LOWOFFER,PRICEMINUSPREVWAPRICE,OPENPERIODPRICE,SEQNUM,SYSTIME,CLOSINGAUCTIONPRICE,CLOSINGAUCTIONVOLUME,ISSUECAPITALIZATION,ISSUECAPITALIZATION_UPDATETIME,ETFSETTLECURRENCY,VALTODAY_RUR,TRADINGSESSION,TRENDISSUECAPITALIZATION
CHMK,TQBR,,,,,0,0,0,7905.0,7740.0,7935.0,7770.0,0,0,1,7770.0,86.62,7845.0,0,-1.51,-120.0,,7845.0,7965.0,-2.02,134,263,2063470,23003,,N,23:50:04,,,7770.0,7770.0,7845.0,,,-160.0,18:45:29,,,-195.0,,20240526000501,2024-05-26 00:05:01,7770.0,6.0,24568468050.0,18:45:29,,2063470,,0.0
CIAN,TQBR,,,,,0,0,0,987.0,925.0,987.0,933.0,0,0,500,466500.0,5200.52,950.0,0,-3.18,-31.2,,950.0,980.8,-5.39,4310,99230,94259561,1050801,,N,23:50:04,,,933.0,933.0,950.0,,,-53.2,18:49:27,,,-48.2,987.0,20240526000501,2024-05-26 00:05:01,933.0,1533.0,,,,94259561,,
CNTL,TQBR,,,,,0,0,0,17.08,16.34,17.38,16.44,0,0,40,65760.0,733.09,16.86,0,-1.86,-0.32,,16.86,17.18,-4.53,1102,1048000,17665894,196938,,N,23:50:04,,,16.44,16.44,16.86,,,-0.78,18:48:11,,,-0.74,17.08,20240526000501,2024-05-26 00:05:01,16.44,1800.0,2731785480.0,18:48:11,,17665894,,0.0
CNTLP,TQBR,,,,,0,0,0,11.04,11.02,11.4,11.08,0,0,1,1108.0,12.35,11.18,0,-1.41,-0.16,,11.18,11.34,-0.54,1069,1066500,11924546,132934,,N,23:50:04,,,11.08,11.1,11.18,,,-0.06,18:46:53,,,-0.26,11.04,20240526000501,2024-05-26 00:05:01,11.08,6700.0,613710120.0,18:46:53,,11924546,,0.0
DELI,TQBR,,,,,0,0,0,323.2,319.0,326.15,319.75,0,0,22,7034.5,78.42,322.1,0,-0.56,-1.8,,322.1,323.6,-0.71,5871,153508,49444834,551208,,N,23:50:04,,,319.75,319.65,322.1,,,-2.3,18:47:08,,,-4.15,323.2,20240526000501,2024-05-26 00:05:01,319.75,50.0,56227735975.75,18:47:08,,49444834,,0.0
DIAS,TQBR,,,,,0,0,0,6120.0,5911.5,6141.5,6000.5,0,0,1,6000.5,66.89,6014.0,0,-1.47,-90.0,,6014.0,6103.5,-1.94,4612,21323,128233117,1429536,,N,23:50:04,,,6000.5,6000.0,6014.0,,,-118.5,18:48:34,,,-103.5,,20240526000501,2024-05-26 00:05:01,6000.5,27.0,63005250000.0,18:48:34,,128233117,,0.0
DIOD,TQBR,,,,,0,0,0,17.09,15.52,17.47,16.3,0,0,1,1630.0,18.17,16.31,0,-5.45,-0.94,,16.31,17.25,-4.62,593,331900,5413508,60350,,N,23:50:04,,,16.3,16.36,16.31,,,-0.79,18:45:08,,,-0.95,,20240526000501,2024-05-26 00:05:01,16.3,100.0,1491450000.0,18:45:08,,5413508,,0.0
DVEC,TQBR,,,,,0,0,0,3.299,3.08,3.299,3.118,0,0,10,31180.0,347.59,3.165,0,-1.62,-0.052,,3.165,3.217,-2.81,428,1641000,5193112,57893,,N,23:50:04,,,3.118,3.12,3.165,,,-0.09,18:45:51,,,-0.099,3.299,20240526000501,2024-05-26 00:05:01,3.118,6000.0,53701650132.87,18:45:51,,5193112,,0.0
DZRD,TQBR,,,,,0,0,0,4970.0,4700.0,5050.0,4880.0,0,0,1,4880.0,54.4,4845.0,0,-3.39,-170.0,,4845.0,5015.0,-2.5,131,323,1565405,17451,,N,23:50:04,,,4890.0,4890.0,4845.0,,,-125.0,17:52:25,,,-135.0,,20240526000501,2024-05-26 00:05:01,4890.0,,1675826160.0,17:52:25,,1565405,,0.0
DZRDP,TQBR,,,,,0,0,0,3540.0,3400.0,3540.0,3420.0,0,0,3,10260.0,114.38,3440.0,0,-3.91,-140.0,,3440.0,3580.0,-3.12,226,670,2306740,25715,,N,23:50:04,,,3420.0,3420.0,3440.0,,,-110.0,18:48:36,,,-160.0,,20240526000501,2024-05-26 00:05:01,3420.0,3.0,391483980.0,18:48:36,,2306740,,0.0
